msg,label
 on any page in onenote for windows 10 click or tap the settings and more button settings and more button located in the top right corner click or tap print printer select microsoft print to pdf ,0
 at dr neha chaudhry no schema or table structure is not deleted on truncate ,0
 the default value specified in a default clause must be a literal constant it cannot be a function or an expression ,0
 this means for example that you cannot set the default for a date column to be the value of a function such as now() or current date ,0
 typeerror tuple indices must be integers or slices not str ,0
 first perform or then interchange the numbers ,0
 first do or operation and then do not operator on the result ,0
 and or not fir se samjha dijiye ,0
 at shashank by creating function for loop or while loop ,0
 at shashank these topic will be come in next class or upcoming classes ,0
 at debee prasad rath packages are basically directory of modules or sub packages and modules are python file ,0
 no at akshita it s same as you do logical and and or multiple time in programming ,0
 sir does company uses both pandas and sql simultaneously or they use only one either pandas or sql ,0
 it s not first or last but it resulted in first and last vowels ,0
 fresher in data science please help to get job or hire as your intern ,0
 i am biochemistry graduate and doing pg diploma in data science and i want to know online mca in data science and online msc data science is good or not ,0
 sir some colleges are giving bca ds and ai as course it will be good to join or not ,0
 make a list of good youtubers or playlist that can be used for data science ,0
 sir for data science both python and sql is required or any one ,0
 i am biochemistry graduate and doing pg diploma in data science and i want to know online mca in data science and online msc data science is good idea or not ,0
 sir for data science both python and sql is required or any one clapping hands clapping hands clapping hands ,0
 at campusx sir freshermen can start ml roadmap or first i should do dsa and development ,0
 i am following your channel from last month but i didnt find any video about you or introduction about you ,0
 i am a assistant professor since last 8 months working or getting trained in ai ml and ds ,0
 sir for data science both python and sql is required or any one clapping hands clapping hands clapping hands clapping hands clapping hands ,0
 sir for data science both python and sql is required or any one clapping hands clapping hands clapping hands clapping hands clapping hands clapping hands clapping hands ,0
 try and except or type of input int ,0
 at apoorv sinha may or may not be ,0
 confidence interval and margin error both are same or different ,0
 sir all of these function in numpy use or not in competative programming ,0
 at satbir you have the ranges directly or indirectly ,0
 at mewu try to build some logic with and or together ,0
 sir is this program only for data science or for ml also ,0
 assignments submission of any respective module will be open till the module completion or its flexible ,0
 at md azad he was i think but for now he s a full time instructor giving us the best content thats all i know ,0
 banda chat parh skta ha youtube per agr dubara video dekhen to chat bhi nazar aati ha or concept achy se clear hoty hain ,0
 sir mera bcom huva hai aur mai agr skill develop krke apka course krkr merko job milegi sir ,0
 ya try except finally ,0
 ya i have basic knowledge about data science ,0
 ya sir woke up early just for your class ,0
 ya i got ,0
 ya hamza ,0
 ya almost but imposter syndrome grinning face with sweat ,0
 not fully agree but ya ,0
 ya at aditya mishra ,0
 string function ya methods ,0
 at sukant in task manager end the task of sql then it will work as it shows error if the same port is used for two instances ,0
 at dr neha chaudhry else will only get executed if there is no error but finally will get execute always no matter there comes any error or no ,0
 at neeraj sir actually i m not financially strong but i m interested in this course i already watched all free video so if possible than please provide this course for paid as well as for free ,0
 sir please make a sql mysql playlist for beginner to intermediate also includes advance (if required for data analyst) topics if possible ,0
 please make a sql mysql playlist for beginner to intermediate also includes advance (if required for data analyst) topics if possible ,0
 at pankaj deora if orginal string is equals to reverse then it is palindrome ,0
 at manindra kumar if your are using google notebook press shift enter to run that cell ,0
 at mittal bhatt you can t image beyond 3d you can t image a hyperplane if your concept in 3d is clear then the hyperplane is nothing but a plane on more than 3 dimensions ,0
 sir mojo ka idea do thoda if its possible later 15 20 min in other free time ,0
 sir no problem if it is available on youtube it will be great because websit is slow in my area ,0
 sir in course duration if industy upate any specific requirement for capmus selection will it be add in current course ,0
 sir may be you can upload dsa playlist even if it is a raw video at least we will get some guidance through it ,0
 please give me moderator oportunity if its present ,0
 bro i would pay double the fees if it was in english ( pls mix english ,0
 at manindra kumar try printing if it s printing then non permanet if printing none or then permanet ,0
 at sarfraj alam for that case we have to use and operator if password is correct but email is incorrect then you can login because one condition is true and or operator will pass ,0
 at abhijeet sharan yes can if the project is not big big enough projects need oop ,0
 loop lega k if conditions if title not in mr mrs etc try ker sakte hain ,0
 i know ml ke liye u and krish sir is best over here btw got enrolled in ur course but dsa aapse jyda acche se samajh ayega so if possible minimum edited video bhi chalega ,0
 camera size thoda kam kro sir if possible ,0
 at priyanshu kaushik u dont need to store in float python is so much smart so if result is float then it will be saved as float ,0
 yes at jay soni else if ki jagah elif bolte h python mein ,0
 data engg ki playlist if possible ,0
 >>>honestly speaking ur delivery now is much much better than u r 2 3 back it is also obvious if possible kindly continue live mode of teaching ,0
 at sudhanshu mishra no else will not execute if there any error ,0
 raise that can be handled by if elif else as well ,0
 sir plz explain once if possible ,0
 sir please add time series if possible and some topic related to aws that is needed according to data science ,0
 100 days of python is also pending if possible complete it thanks in advance ,0
 every elements in numpy array should be same if not same then numpy will convert ,0
 sir can be use if else statement for class ,0
 at suman kumar suman if data is numerical it shows int ,0
 quick repeat if possible thank you ,0
 at shresth verma no if size is 1 it will have one outcome that could be any value between 0 to 10000 ,0
 at dr neha chaudhry index function same as list it gives you index of first occurrence of the element you gave as parameters and error if element not in tuple ,0
 [fruit for fruit in my fruits if fruit in basket if fruit startswith( a )] ,0
 in custom index if marks only two elements and subjects have different ,0
 at pankaj singh might be issues with file path see if above shared link solve your issue ,0
 sir if possible use green screen folded hands ,0
 write func also opens a new file if file doesn t exist ,0
 checking if the righth file to write ,0
 sir if there s a gap between lines in the text file this will end the execution there itself know ,0
 df[title] str apply(lambda x other if x in [list of all the vaues] else x) ,0
 c 5 means we are checking if c has the same value of 5 or not ,0
 at shweta n if the payment was successful then you can access the member only videos ,0
 ye to if block se hi hoga ,0
 sir if moving having more than one grneres ,0
 at nigil edwin one column > it s series and if there are multiple column then it will be dataframe ,0
 hi good evening sir if possible try to take class from 7 30 pm to 9 30 pm plzzzzzzzzzzzzzzzzz ,0
 at rao sajid if possible you can join from youtube but you cant join the live classes but you will get the recorded versions ,0
 returns 1 if one of the bits is 1 and the other is 0 else returns false ,0
 1 if different 0 if both are same ,0
 xor operation is opp of or operation in or if any one value is true it gives true in xor its give true only if both the values are false ,0
 at amrita mukherjee this is very rare case but as you can write nested if else in same way you can code also this but it is rare ,0
 guys reply if anyone has good knowledge of ds bcz i am also at intermediate level ,0
 bad time by programmers to get high traffic it would be better if this was around 10 pm ,0
 sir gaussian mixture model bhi bata dijiye if possible ,0
 at aditya mishra some variables we need through out the class for that variables we define using self but if need a variable only for a method you dont need to use other dont use self ,0
 at sayan roy if ew create different functions for diff rule we need to pass value ,0
 one example for if else through comprehension ,0
 nested list comprehension please revise in the next class if possible ,0
 one example of if else comprehension ,0
 fk is not allows to delet course fron udemy if that course is all ready taken by a student ,0
 session2 operators if else loops ipynb open ho rha h ,0
 at sylas halderb in range function the last number is not included so if range(2 6) goes from 2 to 5 not 6 ,0
 function and method both use interchangeably if the function is related to class then that function is called method ,0
 hi sir just a small query i would like to know if dsa will be covered ,0
 sir it would be great if a student can get some freelance machine learning work experience under you after this course it will be counted as work ex > i think ,0
 nice to have u online ,0
 modify anytime according to requirement ,0
 anyone from pune ,0
 any suggestion for me ,0
 any limitations of join ,0
 no problem with any mode ,0
 any resoueces for oop ,0
 any books to refer ,0
 filters in any website ,0
 in the curriculum you had include aws sagmaker any plans for azure as well andwhatsapp pe payment dsmp 2 0 ka message nahi aaya ,0
 for n dimensional space similarity between any two points ranges from 0 to 1 specially used in nlp word vectorization ,0
 at manindra kumar yes you can have name any ,0
 i am working professional starts with you 100 days of ml course any suggestion for me ,0
 hey im in my final year of college and still im not getting any internships in data science field ,0
 hey i m in my final year of college and still im not getting any internships in data science field ,0
 sir any external source suggest for these things to understaand ,0
 sir any external source suggest for these things to understand ,0
 sir any external source suggest for these things to understand and prctice ,0
 i will not find a better explanation anywhere ,0
 at akash srivastava anything that you can imagine web development automation ml game development ethical hacking desktop and mobile app development and may more ,0
 deepak sir i need guidance regarding my resume preparation i have 6 month internship in data science but still i am not able to get any full time offer i am a mtech last sem in iit kanpur ,0
 deepak sir i need guidance regarding my resume interview i have 6 month internship in data science but still i am not able to get any full time offer i am a mtech last sem in iit kanpur ,0
 sir i need guidance regarding my resume interview i have 6 month internship in data science but still i am not able to get any full time offer i am a mtech last sem in iit kanpur ,0
 sir kindly recommend any computer vision courses and tutorial ,0
 at priyam soni we are not providing any kinds of notes take notes on your own also these notebooks are notes ,0
 characteristics of loop me can contain any kind of objects in python pending ,0
 sir any reference for apriori algorithm as i am from retail i need to understand in a better way at campusx ,0
 dear sir i have just started watching your videos from last 4 days and your video are awesome but i have joined another institute one month ago please suggest any way forward ,0
 sir any emi avilable for pakistan students ,0
 i want to join in paid membership anyhow from bangladesh this is my humble request ,0
 say hindi but don t write any documentation in hindi ,0
 pls recommend any website for ml projects project pro is too costly ,0
 at wakeel ahmad ansari not taking any paid classes right now ,0
 volume of any object is 3 d has length breadth and height ,0
 at deepak kumar i guess you can cancel that at any time so before the deduction cancel that ,0
 sir without shape any other methods ,0
 at vipin yadav youcan cancel but you will not get any refund from youtube so do the class from youtube sir will post the member only classes links there you can join there ,0
 there isn t any link on website for todays class ,0
 any other function we can edit tuple ,0
 any real life example of set ,0
 please anyone answer me this is a first lecture on machine learning ,0
 at family cook off heroku s goose is cooked not free anymore ,0
 numpy numerical python and pandas pannel data so to do any numerical opertaion on a data frame numpy gives the ability to pandas and pandas is te way to store the data in a tabular format ,0
 any option like slicing [ 0 15) ,0
 hello everyone anyone from assam guwahati lets make a whtsapp grp ,0
 good evening any update about telegram channel ,0
 at jay soni print(a b c) anything between and is a string ,0
 at maniac coder sir has not told anything like that ,0
 python tutor is not storing in any memory location but google cloab is having some issue in storing fun memory ,0
 it does not take any argument ,0
 at rajesh kumar burnwal in sql null is not equal ( ) to anything not even to another null according to the three valued logic of sql the result of null null is not true but unknown ,0
 any fast track job guarantee program ,0
 great in groupby() python is felxiable than any sql ,0
 any one interested in study group ,0
 take 2 numbers as input from the user write a program to swap the numbers without using any special python syntax this is numpy question ,0
 for the meet up for the people coming from the south any suggestions for the stay ,0
 sir any plans on deep learning and nlp with pytorch sir there are few resources for it ,0
 means for any real dataset we have to use this paired 2 sample test for hypothesis testing between 2 features (value by value) ,0
 sir any plans on making videos on model deployment ,0
 any advanced topics on pipeline making ,0
 hi sir i have 6months of experience in data ascience iam not getting any calls ,0
 hlo sir i have 6months of internship in data science field iam not getting any calls ,0
 vhlo sir i have 6months of internship in data science field iam not getting any calls ,0
 at abhishek till now all doubts have been resolved we did not receive any doubts such that you can fill the form again ,0
 sir any good books to follow ,0
 please try to cover calculus from level 0 i can t recall anything ,0
 hi all anyone from new delhi ,0
 at abhijeet sharan and by calling with any object object itself goes as first parameter so in case of point on line method while calling inside parenthesis you will pass one parameter of point object ,0
 anyone have some doubts not only posts here can also posts to the form ,0
 at rahul kumar you can choose any value as a random state ,0
 it s there any way that we can join a little late coz of personnel issues ,0
 sir ke like bhadwana ke lia isna subscription lia hai ,0
 baaaapu ke saamney itne confidenece mein mat boldena baapu sir fod dega face green smiling face green smiling face green smiling face green smiling face green smiling face green smiling face green smiling ,0
 class boring nhi hai message krna ke baad wait krna padta hai for 2 3 minutes to resend message ,0
 sir mene apse pucha tha ocr ke bare me plz sir kuch batana ,0
 sir bhaiya apka free wala part bhi itna sahi he confidence ajata he dekhne ke baad kuch ata he ,0
 sir class ke beech me 5 min break de dena after every hour plzz in the stats part ,0
 kuch home assignment dena pratics ke leeye ,0
 sir aaj thode doubts reh gaye but mazaa aaya phir se video dekhna hoga doubts ke liye ,0
 realation o and p ke sath dekhana hota hai ya features ke sath ,0
 last step bhi kr ke dikhna sir please phyton tutor mai ,0
 sir agar humko hello () ko without decorator ke call krna ho toh hum kr hi nhi skte ,0
 xor wala padhna zaroore hai datascience ke liye sir ,0
 itna toh pata bhi ni tha oop ke baree mein aaj pata chla ,0
 sir data science keliye sql pura ana chahiye clapping hands clapping hands clapping hands ,0
 sir is class ke task me test dena ,0
 sir class ke chakkr mein daawat se jaldi khana kha ke aa gaya ,0
 sir addition content ke liye 7months yaa 8th months ke liye sir lena padega ,0
 sir dsa ke topic like linked list stack queues trees graph heap cover krwa dena youtube pe just basic level would be great ,0
 hum agar khud ka object banaye to hum apna error bhi raise kar sakte hai ,0
 sir mujhe sirf mlops sikhna hai ml mai mujhe 1 saal ka experience hai 6 month ki internship kri usa ke startup mai i am very in all machine learning concepts i want only learn advanced concepts ,0
 qna ye 7 month ka hai november se may mera placement chal ra hai to mere to koi kaam ka nn jo 1st 2nd 3rd year me hai unke kaam ka hai agar phele utha to mai bhi data science me try karta ,0
 sir konsi place mein pay karna hai ,0
 sir mujhe data engineer banna hai but phir bhi aap ka course join karunga thank you bhaiya red heart ,0
 aaj toh sir apna pani bhi kam piya hai ,0
 sir solution bhi upload kar diya apna ,0
 kar sakte hai lakin nhi karna hai ,0
 super use karna hoga ,0
 child se parent ke constructor ko call karna hota hai java me ,0
 abhi dimag pe overload ho raha bohot practice karna hai ,0
 thank you sir assignment karna hai ab ,0
 aap apna image thoda chota kar lo wo data pr aa rha ,0
 clear hai sir mysql me outer join nahi hota union use karna padta hai ,0
 head 5 karna mere ko wankhede ka dekhna hai ,0
 data ko filter karna hai to ,0
 thanks sir broadcasting wala thoda heavy tha revise karna padega dubara ,0
 vif ka coad share karna ,0
 comprehension ka logic ka samjhna thik hain pr likhte samay dikkat hogi thodi ,0
 sir internshala ka course lena thik rahega with placement gurranty ,0
 sir ek suggestion tha agar autopay implement kar dete to phir manually recharge karna nehi parta nehito content nehi dekh paate ,0
 cummulative use karna padega ,0
 sir json file par bhi kam karke dhikana jese csv par karte hai ,0
 sir without matplotlib ke bina (plot kam karta hai ) ,0
 n ka kuch or bhi option hai jo list m lgaye bina same operation ho jaye ,0
 jab puri file ke upar koi taxk karna h toh read() agar ek line ke upar kaam karna h toh readlines() ,0
 bahar laake convert karna hoga ,0
 salary katna unki bando ki ,0
 han sir itna accha laga ki like bhi kar diya ,0
 sir abhi me aap ka matplotlib ka purana video dekh raha tha ,0
 sir vo codes vagarah upload kar dena is video mein ,0
 sir interview questions ka answer wala playlist incomplte hai woh please poora krdena ,0
 featured engineering ka lia model ka bara pata hona chahiye ,0
 kasam se sir jitna clarity dete hain concepts ke baare mein koi nhi deta ,0
 bhai plz mat type kro yaar itna sir ka sunne do ,0
 sir loops ka logic banva dena ,0
 typeconversion karna ,0
 sir inke notes upload kar dena ,0
 sir inn codes ko upload kar dena ,0
 kal task karna hai ,0
 kaggle project live series bhi karna nitish will be great ,0
 at kalpana kanwaria use python to upload the dataset to the mysql db ,0
 at kalpana kanwaria sir has shown in the session 28 video ,0
 itna subquery padh lia ki table banata kaisa hai ye bhul gya ,0
 max isliye legb rule ka hisab se aapna hi scop mein milgaya isliye error ,0
 delete mat kana pls ,0
 task ko resolve karna sahi hai ,0
 go to join button at kalpana kanwaria ,0
 sir data cleaning sql me karna hota h ya python me company me ,0
 mujhe apka paid course join karna hai sql ke liye ,0
 sir ye one note ke slides share kardena pls ,0
 sir main course by karna chahta par option nahe ata error show hota ,0
 sir aapko divide karna chahiye tha by 1 1 to get the last year population because it is given to increase by 10 percent every year ,0
 sir apko schedule upload karna tha iss course ka ,0
 sir jo start kara hai usko aage tak leke jana sir matlab pura data scince padana deep learning and aage bhi ,0
 sir i have made a program but prblm is mujhe use baar baar run karna padta hai ,0
 bina chat dekhke pta krliye camera ka wah sir badhiya ,0
 sir ye samjh nhi aa rha ki jo feature individually acha nhi kr rha wo baki ke sath mil kr kaisa acha krega ek example de kr samjhna plz ,0
 sir aapse contact karna chahta hun ,0
 p value sirf discreet random variables ka lia use karna hai ,0
 sir bina table ke ek baar phir se explain kar digie ,0
 ye saare test physically perform nei karna padta hai sab to python lib mein available hai ,0
 sir goodevning sir ml project ka koi free website batao jaha model deploy kar sake ya ek video bana do plzzzz book recommender system wala deploy nei kar pa rahe hai ,0
 sir probability kaisa calculate krna between two points in python for pdf ,0
 pura sql style hai its easy sir or operation karna hai toh ,0
 multiply karna hua to ,0
 aisa explanation maine kabhi suna hain wonderfull goodvibes goodvibes ,0
 class khatam kardo sir ab kal exam ke liye bhi padhna slightly smiling face slightly smiling face ,0
 sar main data science ki field mein kam kar raha hun but machine machine learning ke model rear aate hain banane ke liye jyadatar data analyst ke work per kam karna hota hai aur data behtarin karna ha ,0
 sir please paid mat karna ,0
 sir 12th pass or 2 saal ka gap hai graduation karna chiye ke nhi ,0
 kaafi accha lecture tha i read it from analytic vidhya pr uthna smj nhi ayaa tha now ab sb clear ,0
 selmon bhai ka story kbhi batana sir ,0
 sir agar hume sort rowwise and col wise dono karna ho ,0
 freelancing ka sir next month done rkhna plz ,0
 task hard hone se google karna sikh jayenge hum ,0
 sir if possible module wise cheet sheet jugad karna study room may wall pay chipkane ke liye ,0
 column ka value print karana he ,0
 columns ka value print karana he ,0
 delhi print hoga jitna sting ka index hoga ,0
 sir community ka kal update kar dena slightly smiling face thanks gn ,0
 sir code ko github pe push krna ka video bhi daal dejyea ,0
 kisi chiz ko cover kar k rakhna ,0
 sir pay krna chahta hoon pr wahi join ka problem he for timebeing free pe krra hon but i hope in future kch nayi setting ho ap k end se ,0
 please tell about payment youtube se karna hai ya website ,0
 i am from pakistan plz member ship ka krla sir mujhe apka sat live prhna ha plz ,0
 ml ka apna content best hai sir ,0
 buy this course today sir kat mat dena abh rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,0
 jinko really krna unko biswas jo tym pas wale h wo tym pas krenge but inhone har cheez clear ki har clear ,0
 zoom peh session rkho sir or vo zoom ki screen ye youtube peh bhi share kr dena ,0
 sir 4 year career gap hogyi is saal but wo sab chodke 4 mahine se puri aapko follow kr rrha lekin bande companies k bol rhe ki impossible hein is field mein crack krna some advice and encouragement ,0
 ye same example pehle or kisi video me bhi suna hai ,0
 sir apke ml playlist ke notes provide kijyena ,0
 100 days of deep learning ki videos upload krdo varna mata raani paap lgaegi joke aside thank you for your content jldi krdo upload ,0
 sir beena camera ki hi padha do fire ,0
 sir sde campus placement m baithna chahia ki nhi ki sirf da and ds ki jobs mai ,0
 bhaiya apna instragram promote kijiye wo easy hai apse contact krne ke liye ,0
 sir data engineering par bhi videos bana do snowflake pyspark etc ,0
 code fatna nahi chahiye ,0
 raita pi lena chaiya felana se acha smiling face with tear ,0
 at debee prasad rath face with tears of joy face with tears of joy fekna lapetna bhai lang m ho sakte hain ,0
 futue mein bar bar nahi likna hoga ,0
 python pe depend nhi hona parega ,0
 errors koi apna tarika se show kr sakta hain ,0
 vps dekhna pdega ek bar ,0
 sir test se phele de dena break ,0
 jo koi only dsmp 2 lena chata hai ,0
 pankaj you tube pe join kr lena member banke pay krna hoga ,0
 mujhe sirf statistics sikhna hai complete konse months ma subscription lu ,0
 at abhijeet bhai samar pe khana khane baithe hai ,0
 i am also from patna (boring road) ,0
 mujhe bhi participate krna h isme sir ,0
 at dipanjan jayswal 17 ics 027 nlp badhiya padhna padega ,0
 vase faltu m 44 fook diye apna ek naya bana leta 5 6 crore mein ,0
 sir input dena hofa constructor me ,0
 at krishna o p great thought ,0
 child wala hona chaiye ,0
 bete ko tiktok banana hai face green smiling face green smiling face green smiling ,0
 guys like kr dena grinning face only 100 hi hua h ,0
 samaj aagya but 1 2 baar dekhna padega vapasss ,0
 sir jan me test lena dec me paper h ,0
 nested group by lagana hoga ,0
 mai task mai hr baar beizaay hona chahta hu ,0
 bishant kumar agar method h to () lagana hoga nhi to nhi like size values are property so you don t use () ,0
 future me ek match apn ko b khelna chaiye ,0
 at samytab in finals argentina vs france ,0
 at krishna o p yes you can do ,0
 at maharana pratap ji yes correct ,0
 sir mere ko aaj khud dinner banana hai mai jata hun bye ,0
 itna maths yad rakhna important hai bahot confustion horaha sir ,0
 wapas aane par samjhna chahiye sir deep jana baht sahi hai ,0
 no pls don t reduce the complexity it s a sincere request sab samajh aa raha hai interviewer ko bhi nahi pata hoga itna sab ,0
 ye frame wala mujha kuch clear nhi hua video phir dekhna padega ,0
 sir samaj toh sab ara hai but in sab chezo ko yad rakhna is a task smiling face with tear ,0
 at jena subhasish memory always starts with 0 ,0
 at jena subhasish memory always starts with 0 s array is memory so it will starts with 0 ,0
 at haryana roadways the past videos were live but you can access them as a recorded format next coming videos will be live ,0
 sir shi hai college bhi jana hota hai ,0
 sir bs course me kuch bhi chorna mt ,0
 nd series bana sakte hai ,0
 5 baar unstack krna is equal to 1 unstack 2 stack ,0
 maja aaya aur ye maja mai sabko dena chata hoon ,0
 code bhejo at pandit krishna ,0
 bessel correction at rajat bahuguna ,0
 sir pehele q2 nikalna hoga ,0
 jo mil raha hai vohi khazana hai ,0
 at krishna patil yes f is still variable ,0
 sir i really liked the session mene pahle ye topic pada tha but itna deeply hota hai idea he nahi tha ,0
 sir visualization ache se smjha dena ,0
 meshgrid ek baar phir dekhna padega ,0
 badhiya hai class sir factor analysis lda naive bayesian bhi padha dena ,0
 don is the male version of dona so don should also not be in others ,0
 regex true parameter krna hai shayad ,0
 sir plz ese hi live session conduct krte rhna bahut help milti h f ,0
 sir python slow haina ,0
 bhaiya data type bhi batana ,0
 yes jay semi colon nhi lagana padta ,0
 sir nested dictionaries sikhana ,0
 true true true hona tha ,0
 sir notes de dena iske ,0
 sir logo ne bola data science tough h thoda easy banana ,0
 last next bhi krna sir ,0
 last next bhi krna sir please ek baar ,0
 at mukesh jangid ha common column batana padega ,0
 algorithms ko paper par krna padega ,0
 select nahi likhna hai sayadd ,0
 sir parentheses lagana hoga shaayad ,0
 ipl groupby( batsman )[ total runs ] sum() sort values(ascending false) batsmansk raina 5651v kohli 5616rg sharma 5057 ,0
 last wla question ek bar dikhana sir ,0
 sir notes daal dena ,0
 at krishna kumar run services msc and shutdown mysql80 ,0
 sir odoo par bhi playlist bana do ,0
 at khan sabahuddin nhi bhai varchar hi ikhna parega ,0
 itna detail me ddl pehli baar padha ,0
 sir download folder mat kholna live pe tinder tip ) ,0
 sir apne decorator sahi se nahi smjaya ek vedio bna dena asan bhasha e ,0
 column delete krna ho to ,0
 sir coloum delete krna hoga to ,0
 train and test file main drop seperate krna hota hai ,0
 0 hona chaiye ,0
 discord bana do jaldi se ,0
 sir bus acche se cover dena ,0
 sir timeline wale section ko reverse kr dejyea ga scroll krna padta hai ,0
 sir apka paid course lene se purana video dekh paunga ,0
 sir full course upload y i tube pr ya purchase krna pdega ,0
 sir ek q and a session rakhlo please for unpaid people with less subscription amount because pura course nhi lena mujhe ,0
 sir main abhi mca 5th semister main hun main machine learning main carrier banana chahata hun sir plz kuch guide do ,0
 great explanation sir thanks but data science is really huge field and interesting itna sara padhai yaad nei rehta sabkuch ,0
 purana wala pin confirm ,0
 print ( pin sahi dalo warna paisa nahi dunga ) ,0
 koi site and app par aaye tou homepage dikhna chahiye ,0
 br br hume uss program ko call nhi krna pdta hai ,0
 variable automatically bna jatte hai ,0
 jo by default hona chahiye ,0
 guru ji pout bana rahe hai ,0
